geneSymbol	diseaseName
A1BG	Glioblastoma
A1BG	Meningioma
A1BG	Subependymal Giant Cell Astrocytoma
A1BG	Hepatocellular Adenoma
A1BG	Angiomyolipoma of kidney
A1BG	Adult Glioblastoma
A1BG	Childhood Glioblastoma
A1BG	Lymphangioleiomyomatosis
A1BG	Glioblastoma Multiforme
A1BG	Liver carcinoma
A2M	Astrocytoma
A2M	Malignant tumor of colon
A2M	liposarcoma
A2M	melanoma
A2M	Myelomonocytic leukemia
A2M	Secondary malignant neoplasm of bone
A2M	Hepatoblastoma
A2M	Hepatocellular Adenoma
A2M	Malignant neoplasm of lung
A2M	Adult Liposarcoma
A2M	Childhood Liposarcoma
A2M	Malignant neoplasm of liver
A2M	Malignant neoplasm of prostate
A2M	Prostate carcinoma
A2M	Colon Carcinoma
A2M	Liver carcinoma
A2M	Hepatoblastoma Caused By Somatic Mutation
A2M	Childhood Astrocytoma
NAT1	Malignant neoplasm of urinary bladder
NAT1	Bladder Neoplasm
NAT1	Malignant neoplasm of breast
NAT1	Malignant tumor of colon
NAT1	Malignant neoplasm of larynx
NAT1	Rectal Carcinoma
NAT1	Non-Small Cell Lung Carcinoma
NAT1	Renal Cell Carcinoma
NAT1	Squamous cell carcinoma
NAT1	Colorectal Carcinoma
NAT1	Laryngeal neoplasm
NAT1	leukemia
NAT1	Chronic Lymphocytic Leukemia
NAT1	Acute lymphocytic leukemia
NAT1	Childhood Acute Lymphoblastic Leukemia
NAT1	Acute Promyelocytic Leukemia
NAT1	Leukoplakia
NAT1	Leukoplakia, Oral
NAT1	Lymphoma, Non-Hodgkin
NAT1	Malignant neoplasm of stomach
NAT1	Multiple Myeloma
NAT1	Neuroblastoma
NAT1	Adenomatous Polyposis Coli
NAT1	T-Cell Lymphoma
NAT1	Cholangiocarcinoma
NAT1	Adult Non-Hodgkin Lymphoma
NAT1	Childhood Non-Hodgkin Lymphoma
NAT1	Pancreatic carcinoma
NAT1	Carcinoma of Male Breast
NAT1	Malignant neoplasm of lung
NAT1	Malignant neoplasm of male breast
NAT1	Gastric Adenocarcinoma
NAT1	Malignant Head and Neck Neoplasm
NAT1	Squamous cell carcinoma of esophagus
NAT1	Conventional (Clear Cell) Renal Cell Carcinoma
NAT1	Adenocarcinoma of pancreas
NAT1	Hyperplastic Polyp
NAT1	Adenocarcinoma of colon
NAT1	Malignant neoplasm of pancreas
NAT1	Malignant neoplasm of prostate
NAT1	Malignant neoplasm of esophagus
NAT1	Carcinoma of larynx
NAT1	Leukemogenesis
NAT1	Prostate carcinoma
NAT1	Breast Carcinoma
NAT1	Carcinoma of lung
NAT1	Colon Carcinoma
NAT1	Stomach Carcinoma
NAT1	Carcinoma of bladder
NAT1	Central neuroblastoma
NAT1	Adult Acute Lymphocytic Leukemia
NAT1	Malignant Squamous Cell Neoplasm
NAT1	Environment-Related Malignant Neoplasm
NAT1	Polyp of large intestine
NAT1	Squamous cell carcinoma of the head and neck
NAT1	Adenoma of large intestine
NAT1	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma
NAT1	Primary malignant neoplasm of lung
NAT1	Adenocarcinoma of large intestine
NAT1	Adult Lymphoma
NAT1	Childhood Lymphoma
NAT1	Hereditary Nonpolyposis Colorectal Cancer
NAT1	Liver carcinoma
NAT1	Oestrogen receptor positive breast cancer
NAT1	Node-positive breast cancer
NAT1	Head and Neck Carcinoma
NAT1	Childhood Neuroblastoma
NAT1	Lymphoma, Non-Hodgkin, Familial
NAT1	Malignant neoplasm of colon and/or rectum
NAT2	Astrocytoma
NAT2	Malignant neoplasm of urinary bladder
NAT2	Bladder Neoplasm
NAT2	Malignant neoplasm of breast
NAT2	Malignant tumor of colon
NAT2	Female Breast Carcinoma
NAT2	Malignant neoplasm of larynx
NAT2	Rectal Carcinoma
NAT2	Malignant neoplasm of thyroid
NAT2	Bronchogenic Carcinoma
NAT2	Non-Small Cell Lung Carcinoma
NAT2	Renal Cell Carcinoma
NAT2	Squamous cell carcinoma
NAT2	Carcinoma, Transitional Cell
NAT2	Malignant tumor of cervix
NAT2	Colorectal Carcinoma
NAT2	gallbladder neoplasm
NAT2	Glioblastoma
NAT2	Glioma
NAT2	Laryngeal neoplasm
NAT2	leukemia
NAT2	Chronic Lymphocytic Leukemia
NAT2	Acute lymphocytic leukemia
NAT2	Childhood Acute Lymphoblastic Leukemia
NAT2	L2 Acute Lymphoblastic Leukemia
NAT2	Leukemia, Myelocytic, Acute
NAT2	Myeloid Leukemia
NAT2	Leukoplakia, Oral
NAT2	Lymphoma, Follicular
NAT2	Lymphoma, Non-Hodgkin
NAT2	Malignant neoplasm of stomach
NAT2	Meningioma
NAT2	Multiple Myeloma
NAT2	Pancreatic Neoplasm
NAT2	Adenomatous Polyposis Coli
NAT2	Thyroid Neoplasm
NAT2	Diffuse Large B-Cell Lymphoma
NAT2	Acute leukemia
NAT2	Oral Cavity Carcinoma
NAT2	Adenocarcinoma of lung (disorder)
NAT2	Esophageal carcinoma
NAT2	Malignant neoplasm of oropharynx
NAT2	Malignant neoplasm of sigmoid colon
NAT2	Malignant neoplasm of gallbladder
NAT2	Adenomatous Polyps
NAT2	Cholangiocarcinoma
NAT2	Carcinoma, Large Cell
NAT2	Adult Non-Hodgkin Lymphoma
NAT2	Childhood Non-Hodgkin Lymphoma
NAT2	Adult Brain Neoplasm
NAT2	Lip and Oral Cavity Carcinoma
NAT2	Malignant neoplasm of female breast
NAT2	Gallbladder Carcinoma
NAT2	Pancreatic carcinoma
NAT2	Medullary carcinoma of thyroid
NAT2	Malignant neoplasm of lung
NAT2	Gastric Adenocarcinoma
NAT2	Adult Meningioma
NAT2	Malignant Head and Neck Neoplasm
NAT2	Squamous cell carcinoma of esophagus
NAT2	Adenocarcinoma Of Esophagus
NAT2	Cervical Squamous Cell Carcinoma
NAT2	Transitional cell carcinoma of bladder
NAT2	Conventional (Clear Cell) Renal Cell Carcinoma
NAT2	Squamous cell carcinoma of oropharynx
NAT2	Laryngeal Squamous Cell Carcinoma
NAT2	Cervix carcinoma
NAT2	Hyperplastic Polyp
NAT2	Malignant neoplasm of liver
NAT2	Malignant mesothelioma
NAT2	Malignant neoplasm of pancreas
NAT2	Malignant neoplasm of prostate
NAT2	Malignant neoplasm of esophagus
NAT2	Thyroid carcinoma
NAT2	Carcinoma of larynx
NAT2	Leukemogenesis
NAT2	Prostate carcinoma
NAT2	Epithelial ovarian cancer
NAT2	Breast Carcinoma
NAT2	Carcinoma of lung
NAT2	Colon Carcinoma
NAT2	Stomach Carcinoma
